generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,33.779999,20.360000,0.400786,0.098035,0.657670
500,38.639999,16.880000,0.281991,0.104054,0.596452
1000,36.240002,14.960000,0.171123,0.107686,0.553659
1500,39.860001,13.080000,0.110092,0.107518,0.504863
2000,37.240002,12.560000,0.063694,0.111199,0.499723
2500,41.180000,12.140000,0.052718,0.122396,0.473871
3000,36.619999,12.560000,0.038217,0.115161,0.498377
3500,35.919998,12.260000,0.019576,0.106538,0.489723
4000,36.619999,12.720000,0.015723,0.101546,0.513890
4500,38.720001,12.260000,0.013051,0.107182,0.490709
5000,36.360001,11.920000,0.010067,0.105912,0.488570
