generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,43.400002,34.160000,0.692037,0.061512,0.911440
500,38.480000,25.360000,0.533123,0.083788,0.759866
1000,34.279999,20.220000,0.425321,0.095996,0.653437
1500,42.520000,16.820000,0.306778,0.105935,0.582101
2000,40.139999,14.960000,0.195187,0.106427,0.549744
2500,30.320000,13.520000,0.112426,0.105600,0.518204
3000,38.099998,12.460000,0.060995,0.106145,0.488753
3500,31.020000,12.640000,0.041139,0.096371,0.503286
4000,44.619999,12.640000,0.018987,0.107784,0.515500
4500,36.939999,12.860000,0.003110,0.094679,0.522217
5000,42.220001,12.000000,0.000000,0.096593,0.482729
