generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.060001,49.000000,1.000000,0.054951,1.000000
500,35.720001,37.040000,0.782937,0.062775,0.919432
1000,35.520000,28.220000,0.632176,0.083193,0.789089
1500,39.340000,22.080000,0.494565,0.097881,0.680099
2000,40.680000,18.040000,0.330377,0.099505,0.609747
2500,44.500000,14.700000,0.206803,0.107145,0.537108
3000,45.200001,13.580000,0.141384,0.110299,0.517447
3500,40.380001,13.260000,0.078431,0.108080,0.524435
4000,41.680000,12.480000,0.048077,0.086547,0.498489
4500,38.720001,12.100000,0.016529,0.103349,0.490078
5000,39.980000,11.780000,0.013582,0.108842,0.468715
