generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.340000,9.760000,0.204918,0.159509,0.361629
500,31.459999,11.740000,0.102215,0.129132,0.463367
1000,40.919998,11.580000,0.055268,0.113556,0.452519
1500,45.060001,12.020000,0.029950,0.112939,0.480889
2000,33.119999,13.080000,0.021407,0.094842,0.521970
2500,48.200001,12.960000,0.006173,0.096547,0.528041
3000,38.180000,12.260000,0.006525,0.107434,0.496157
3500,37.080002,12.320000,0.006494,0.112510,0.494879
4000,37.840000,12.040000,0.006645,0.101278,0.487449
4500,35.720001,12.240000,0.003268,0.109276,0.486180
5000,34.400002,11.740000,0.000000,0.106398,0.469456
