generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.119999,24.860000,0.522928,0.085172,0.751294
500,31.139999,19.640000,0.399185,0.098295,0.638531
1000,37.279999,16.440000,0.306569,0.106906,0.559992
1500,36.360001,15.500000,0.206452,0.103953,0.567143
2000,39.000000,14.520000,0.137741,0.098907,0.548625
2500,32.900002,13.300000,0.090226,0.101827,0.516763
3000,36.080002,12.320000,0.051948,0.103955,0.483562
3500,41.259998,12.160000,0.029605,0.107545,0.489870
4000,32.740002,12.220000,0.016367,0.099222,0.495346
4500,37.180000,11.920000,0.013423,0.101596,0.472398
5000,43.759998,12.180000,0.009852,0.108249,0.486776
