generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.779999,28.800000,0.583333,0.073739,0.833840
500,39.200001,22.360000,0.457961,0.089757,0.702872
1000,40.119999,18.920000,0.327696,0.094423,0.643321
1500,47.880001,16.160000,0.252475,0.102359,0.577153
2000,37.700001,14.500000,0.148966,0.105342,0.549329
2500,40.099998,13.540000,0.106352,0.100822,0.533049
3000,41.220001,12.800000,0.065625,0.106433,0.507214
3500,42.959999,12.520000,0.038339,0.097708,0.502267
4000,39.040001,12.540000,0.019139,0.106526,0.503577
4500,38.580002,12.200000,0.016393,0.107274,0.494813
5000,41.020000,12.340000,0.016207,0.097884,0.500544
