generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.400002,20.180000,0.406343,0.095543,0.656376
500,40.919998,16.100000,0.285714,0.107770,0.560270
1000,43.259998,14.580000,0.205761,0.106380,0.534986
1500,39.279999,13.480000,0.130564,0.111263,0.511828
2000,38.619999,12.780000,0.087637,0.112912,0.493201
2500,43.459999,12.320000,0.038961,0.114586,0.496953
3000,43.840000,12.500000,0.025600,0.099283,0.511120
3500,34.099998,12.860000,0.015552,0.095869,0.520632
4000,41.700001,12.580000,0.012719,0.086916,0.510472
4500,45.279999,12.660000,0.009479,0.095478,0.518248
5000,45.480000,12.380000,0.006462,0.099179,0.508410
