generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,45.320000,33.980000,0.692172,0.062432,0.908349
500,39.380001,25.780000,0.557021,0.083030,0.760249
1000,36.180000,20.020000,0.423576,0.098509,0.647475
1500,45.959999,16.880000,0.298578,0.107272,0.579325
2000,37.200001,15.200000,0.202632,0.105896,0.555659
2500,39.740002,14.120000,0.133144,0.109170,0.535189
3000,41.919998,13.140000,0.085236,0.101327,0.514142
3500,44.820000,13.000000,0.049231,0.111027,0.522094
4000,41.480000,12.120000,0.026403,0.110048,0.489966
4500,42.799999,12.280000,0.009772,0.089772,0.499112
5000,47.060001,12.720000,0.006289,0.092259,0.516539
