generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,31.559999,44.240000,0.906872,0.055403,0.987010
500,36.340000,34.120000,0.718640,0.066009,0.890457
1000,42.259998,26.100000,0.554789,0.082176,0.770639
1500,33.240002,20.820000,0.426513,0.093564,0.671075
2000,35.459999,18.020000,0.306326,0.100210,0.618893
2500,29.639999,15.900000,0.206289,0.098960,0.582597
3000,38.040001,14.400000,0.125000,0.104956,0.556869
3500,39.840000,13.200000,0.075758,0.107524,0.511427
4000,36.520000,12.800000,0.053125,0.111959,0.507677
4500,33.740002,12.420000,0.035427,0.103893,0.491304
5000,38.360001,12.560000,0.019108,0.106247,0.505261
