generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.560001,14.660000,0.313779,0.121226,0.507563
500,38.360001,14.160000,0.217514,0.114587,0.525258
1000,41.759998,13.480000,0.118694,0.108666,0.521838
1500,33.619999,13.300000,0.078195,0.108398,0.525000
2000,35.480000,13.600000,0.052941,0.098592,0.544282
2500,44.299999,12.820000,0.031201,0.090516,0.512459
3000,46.119999,11.940000,0.020101,0.099457,0.483561
3500,39.439999,12.380000,0.006462,0.096613,0.499765
4000,36.139999,12.460000,0.003210,0.089028,0.504413
4500,40.439999,12.640000,0.003165,0.105590,0.519700
5000,41.279999,12.520000,0.000000,0.108056,0.518425
