generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.099998,24.580000,0.475183,0.080731,0.763000
500,36.419998,19.580000,0.369765,0.095710,0.645952
1000,36.200001,16.320000,0.250000,0.101722,0.580170
1500,37.820000,14.920000,0.182306,0.105275,0.556128
2000,38.840000,13.900000,0.123741,0.099295,0.525695
2500,45.740002,13.180000,0.084977,0.100367,0.517294
3000,44.759998,12.120000,0.049505,0.101906,0.484862
3500,35.080002,12.400000,0.035484,0.108260,0.497461
4000,34.000000,12.480000,0.028846,0.108590,0.506567
4500,37.299999,12.540000,0.009569,0.100169,0.503647
5000,37.119999,12.500000,0.009600,0.101256,0.505439
