generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,31.540001,34.160000,0.702576,0.063221,0.902840
500,48.320000,26.700000,0.557303,0.079650,0.783838
1000,40.099998,21.220000,0.429783,0.094439,0.676560
1500,39.259998,17.040000,0.307512,0.105420,0.582918
2000,38.619999,15.540000,0.229086,0.107529,0.572207
2500,44.639999,14.160000,0.144068,0.108160,0.533543
3000,41.840000,13.740000,0.087336,0.095710,0.541369
3500,45.560001,13.160000,0.069909,0.104580,0.518935
4000,42.939999,13.340000,0.041979,0.096397,0.533821
4500,38.939999,12.520000,0.035144,0.110619,0.501758
5000,38.619999,12.760000,0.021944,0.103791,0.520338
