generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.959999,18.960000,0.354430,0.097624,0.639765
500,33.720001,16.040000,0.231920,0.106880,0.582614
1000,42.360001,14.600000,0.142466,0.101650,0.554018
1500,38.080002,13.180000,0.088012,0.108369,0.518675
2000,40.340000,13.420000,0.056632,0.101784,0.531237
2500,32.720001,12.540000,0.031898,0.110667,0.509305
3000,41.740002,12.400000,0.019355,0.091584,0.512574
3500,46.340000,11.880000,0.006734,0.100589,0.491391
4000,30.520000,11.880000,0.003367,0.110950,0.477672
4500,42.619999,11.800000,0.000000,0.102732,0.476596
5000,39.320000,11.720000,0.000000,0.106770,0.476654
