generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.279999,38.780000,0.788035,0.056539,0.959221
500,30.360001,29.800000,0.638926,0.075274,0.829610
1000,37.279999,24.020000,0.501249,0.085410,0.736111
1500,31.299999,18.620000,0.365199,0.099175,0.624202
2000,41.480000,16.280000,0.255528,0.103783,0.577556
2500,38.240002,14.520000,0.165289,0.103362,0.531714
3000,40.520000,13.660000,0.108346,0.108692,0.528240
3500,39.799999,13.040000,0.070552,0.101282,0.516185
4000,42.099998,12.760000,0.034483,0.108019,0.512376
4500,34.459999,12.540000,0.019139,0.094606,0.509509
5000,43.599998,12.680000,0.009464,0.098023,0.518229
