generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,40.060001,33.640000,0.678954,0.061944,0.906050
500,29.680000,25.200000,0.553968,0.086124,0.744726
1000,33.740002,20.040000,0.381238,0.092903,0.661990
1500,35.779999,16.380000,0.258852,0.107274,0.581097
2000,38.240002,15.000000,0.189333,0.098968,0.548600
2500,42.900002,13.840000,0.121387,0.110356,0.531556
3000,38.619999,13.400000,0.071642,0.103503,0.523786
3500,38.139999,12.540000,0.041467,0.108525,0.502522
4000,37.680000,12.880000,0.018634,0.097429,0.519553
4500,42.740002,12.940000,0.006182,0.086803,0.523536
5000,32.660000,12.600000,0.006349,0.096514,0.505731
