generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.599998,14.700000,0.302041,0.121169,0.509300
500,39.419998,14.560000,0.197802,0.111518,0.530418
1000,36.740002,14.160000,0.124294,0.096080,0.539703
1500,42.299999,13.200000,0.075758,0.108826,0.522756
2000,33.200001,12.600000,0.053968,0.089137,0.498243
2500,37.020000,12.240000,0.029412,0.101353,0.500906
3000,41.459999,12.960000,0.015432,0.085133,0.533615
3500,41.799999,13.280000,0.009036,0.092999,0.537337
4000,40.520000,13.160000,0.000000,0.096141,0.526550
4500,42.619999,12.640000,0.000000,0.103092,0.508367
5000,45.279999,12.540000,0.000000,0.098002,0.503358
