generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.480000,38.980000,0.796306,0.057021,0.956992
500,27.980000,29.280000,0.621585,0.075680,0.823057
1000,37.000000,23.260000,0.474635,0.087508,0.725359
1500,39.419998,18.340000,0.340240,0.099492,0.625049
2000,41.020000,15.920000,0.206030,0.101832,0.589641
2500,37.320000,14.460000,0.149378,0.102974,0.544818
3000,38.299999,13.800000,0.107246,0.104685,0.529285
3500,39.900002,12.860000,0.065319,0.104631,0.505149
4000,34.840000,13.160000,0.042553,0.102220,0.518046
4500,43.740002,12.900000,0.027907,0.095301,0.527243
5000,42.599998,12.640000,0.012658,0.102076,0.513634
