generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,33.639999,30.160000,0.616711,0.071234,0.850817
500,42.240002,24.280000,0.504119,0.084484,0.738323
1000,44.459999,19.940000,0.399198,0.093801,0.653087
1500,47.160000,16.880000,0.284360,0.102236,0.595727
2000,32.200001,15.400000,0.210390,0.106326,0.556976
2500,46.459999,13.840000,0.147399,0.115868,0.519694
3000,38.299999,13.220000,0.105900,0.113008,0.516890
3500,43.360001,12.800000,0.084375,0.108219,0.492138
4000,42.779999,12.600000,0.047619,0.098823,0.497767
4500,40.680000,12.860000,0.018663,0.095215,0.526715
5000,40.220001,12.480000,0.019231,0.106762,0.501206
