generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.099998,33.980000,0.696881,0.063187,0.903980
500,39.639999,24.740000,0.525465,0.086855,0.744471
1000,45.220001,19.520000,0.383197,0.097648,0.648884
1500,35.599998,17.160000,0.258741,0.097882,0.609590
2000,42.240002,15.080000,0.183024,0.104733,0.566154
2500,47.939999,13.560000,0.091445,0.104449,0.524596
3000,41.400002,12.940000,0.043277,0.106472,0.515688
3500,41.900002,12.200000,0.032787,0.091000,0.490034
4000,34.759998,12.700000,0.018898,0.102373,0.512243
4500,39.320000,12.560000,0.006369,0.100355,0.515533
5000,44.759998,11.760000,0.006803,0.107624,0.473708
