generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.919998,9.360000,0.205128,0.159736,0.339017
500,36.680000,11.660000,0.078902,0.115499,0.456617
1000,38.820000,12.580000,0.047695,0.108367,0.500372
1500,39.959999,12.300000,0.035772,0.107381,0.490695
2000,41.919998,12.320000,0.019481,0.094140,0.490635
2500,33.900002,12.080000,0.013245,0.112668,0.484760
3000,43.119999,12.820000,0.006240,0.088881,0.512379
3500,44.560001,12.420000,0.006441,0.098611,0.500602
4000,37.279999,12.300000,0.000000,0.090980,0.505038
4500,39.680000,12.000000,0.000000,0.092685,0.496160
5000,41.860001,12.100000,0.000000,0.102553,0.507919
