generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,31.760000,24.140000,0.490472,0.087200,0.740587
500,41.860001,19.260000,0.377985,0.096985,0.634705
1000,42.240002,16.600000,0.267470,0.102170,0.579969
1500,46.880001,14.780000,0.197564,0.109945,0.547067
2000,37.139999,14.140000,0.118812,0.104555,0.543635
2500,39.520000,13.360000,0.080838,0.105049,0.519349
3000,42.279999,13.080000,0.051988,0.100186,0.515717
3500,39.639999,12.900000,0.027907,0.096784,0.515927
4000,36.400002,12.560000,0.015924,0.103010,0.501819
4500,40.720001,12.740000,0.012559,0.106320,0.514598
5000,43.799999,12.620000,0.009509,0.103299,0.510584
