generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,28.299999,49.000000,1.000000,0.054951,1.000000
500,26.480000,37.720000,0.790032,0.061047,0.931148
1000,35.180000,28.600000,0.634965,0.080411,0.799433
1500,27.600000,22.340000,0.495971,0.092769,0.685447
2000,39.959999,19.280000,0.369295,0.097655,0.644238
2500,45.220001,16.920000,0.262411,0.098230,0.597593
3000,43.139999,15.160000,0.182058,0.106062,0.557647
3500,34.160000,14.340000,0.125523,0.104724,0.550536
4000,41.759998,13.340000,0.041979,0.090314,0.537963
4500,39.439999,12.540000,0.019139,0.105465,0.507506
5000,41.419998,12.540000,0.006380,0.093057,0.506225
