generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,31.520000,39.520000,0.812753,0.057521,0.957921
500,41.299999,29.900000,0.643478,0.077832,0.825287
1000,40.220001,23.000000,0.526957,0.093595,0.691191
1500,44.380001,19.380000,0.367389,0.097950,0.647829
2000,36.740002,16.660000,0.268908,0.107090,0.595063
2500,34.660000,14.540000,0.187070,0.104460,0.536714
3000,38.759998,13.700000,0.113869,0.107777,0.526522
3500,40.480000,12.780000,0.084507,0.114438,0.498601
4000,35.240002,12.340000,0.055105,0.116698,0.493727
4500,42.480000,12.900000,0.031008,0.103644,0.515720
5000,38.759998,12.160000,0.023026,0.110703,0.494387
