generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.759998,14.300000,0.293706,0.124656,0.499657
500,41.060001,13.860000,0.184704,0.115162,0.521697
1000,38.580002,13.320000,0.099099,0.105623,0.515121
1500,37.139999,13.140000,0.070015,0.105139,0.519117
2000,43.340000,12.340000,0.045381,0.114192,0.496767
2500,46.119999,12.600000,0.019048,0.099703,0.508445
3000,43.599998,12.660000,0.006319,0.104079,0.516208
3500,48.080002,12.800000,0.000000,0.094545,0.517867
4000,39.080002,12.260000,0.000000,0.095303,0.495675
4500,40.020000,12.260000,0.000000,0.100414,0.497105
5000,37.840000,11.680000,0.000000,0.106592,0.462462
