generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.520000,23.860000,0.477787,0.082890,0.737412
500,48.200001,19.300000,0.387565,0.101289,0.632032
1000,35.660000,16.220000,0.293465,0.108525,0.566798
1500,34.939999,14.380000,0.191933,0.114012,0.531180
2000,43.939999,13.780000,0.116110,0.106563,0.529272
2500,42.180000,13.120000,0.079268,0.110670,0.513262
3000,42.419998,12.260000,0.061990,0.101833,0.483025
3500,43.439999,12.240000,0.032680,0.108394,0.489390
4000,40.360001,11.740000,0.023850,0.111861,0.471497
4500,44.200001,12.400000,0.009677,0.105602,0.496942
5000,39.020000,11.860000,0.003373,0.099769,0.475349
