generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,29.500000,43.640000,0.889093,0.054740,0.989367
500,37.040001,32.980000,0.714372,0.071117,0.868022
1000,36.540001,25.240000,0.562599,0.084439,0.740215
1500,30.940001,20.440000,0.403131,0.092341,0.667559
2000,39.200001,17.400000,0.310345,0.104298,0.603907
2500,40.060001,15.660000,0.196679,0.099145,0.576242
3000,43.799999,14.280000,0.137255,0.107559,0.537200
3500,45.439999,12.860000,0.077760,0.106355,0.501505
4000,37.279999,12.960000,0.040123,0.100103,0.510095
4500,41.799999,12.240000,0.029412,0.100403,0.500140
5000,41.740002,12.060000,0.013267,0.106608,0.488312
