generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,44.259998,44.120000,0.901179,0.054981,0.989332
500,30.379999,33.380000,0.720192,0.070042,0.870404
1000,34.860001,25.520000,0.559561,0.084002,0.749092
1500,30.799999,20.640000,0.410853,0.092798,0.668730
2000,39.220001,17.460000,0.286369,0.098161,0.609172
2500,40.740002,15.620000,0.176697,0.100124,0.582948
3000,44.759998,14.180000,0.132581,0.094479,0.536873
3500,39.880001,13.460000,0.086181,0.114816,0.523198
4000,39.400002,12.820000,0.059282,0.113367,0.505301
4500,44.740002,12.280000,0.042345,0.111830,0.488471
5000,43.380001,12.220000,0.022913,0.110946,0.494471
