generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.000000,43.960000,0.892630,0.054267,0.993418
500,34.439999,33.180000,0.690778,0.066260,0.885521
1000,29.320000,25.120000,0.549363,0.084662,0.747356
1500,38.320000,19.480000,0.400411,0.098671,0.637119
2000,43.020000,16.640000,0.274038,0.105738,0.583714
2500,34.419998,15.280000,0.162304,0.100074,0.567728
3000,40.520000,13.460000,0.109955,0.099846,0.512227
3500,39.220001,13.340000,0.068966,0.104402,0.528259
4000,34.540001,13.040000,0.042945,0.099683,0.522685
4500,42.139999,13.100000,0.021374,0.094856,0.530451
5000,39.400002,12.360000,0.012945,0.104203,0.505777
