generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,43.099998,5.580000,0.114695,0.228331,0.223864
500,40.020000,9.360000,0.042735,0.150374,0.366801
1000,37.459999,11.120000,0.021583,0.122572,0.439291
1500,39.320000,12.120000,0.009901,0.101582,0.485051
2000,38.099998,11.840000,0.006757,0.103904,0.476064
2500,46.680000,12.420000,0.003221,0.088332,0.508865
3000,40.419998,12.920000,0.003096,0.101943,0.521859
3500,38.400002,12.080000,0.003311,0.110469,0.488529
4000,37.279999,12.400000,0.000000,0.098903,0.499834
4500,42.660000,12.360000,0.000000,0.093701,0.493878
5000,41.919998,11.980000,0.000000,0.109637,0.489368
