generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,30.160000,38.660000,0.804966,0.059605,0.941932
500,46.320000,29.920000,0.663102,0.079295,0.819863
1000,37.299999,23.800000,0.529412,0.091764,0.718096
1500,32.740002,19.520000,0.405738,0.099483,0.631492
2000,38.000000,16.880000,0.291469,0.103000,0.585405
2500,39.119999,15.660000,0.194125,0.101525,0.584223
3000,45.660000,13.600000,0.114706,0.110431,0.520282
3500,46.360001,12.900000,0.080620,0.112765,0.504368
4000,45.740002,12.940000,0.061824,0.107604,0.511661
4500,39.220001,13.000000,0.043077,0.102548,0.513108
5000,45.520000,12.340000,0.025932,0.108126,0.503580
