generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.040001,49.000000,1.000000,0.054951,1.000000
500,36.400002,37.560000,0.783813,0.060760,0.931278
1000,40.160000,28.100000,0.593594,0.079333,0.804414
1500,35.459999,21.220000,0.473139,0.098108,0.663440
2000,35.180000,17.840000,0.329596,0.102639,0.606160
2500,35.040001,16.040000,0.231920,0.102200,0.577944
3000,37.400002,14.440000,0.160665,0.101919,0.538935
3500,43.840000,13.660000,0.093704,0.105067,0.533594
4000,35.980000,12.860000,0.065319,0.111809,0.500631
4500,43.060001,12.720000,0.040881,0.103974,0.502446
5000,42.740002,12.640000,0.031646,0.103001,0.501360
