generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,44.919998,49.000000,1.000000,0.054951,1.000000
500,39.020000,36.600000,0.783607,0.064725,0.908898
1000,40.160000,27.880000,0.624103,0.084486,0.784583
1500,43.540001,21.900000,0.458447,0.094052,0.692894
2000,41.020000,18.800000,0.348936,0.096290,0.631210
2500,39.080002,15.720000,0.249364,0.105715,0.565492
3000,31.480000,14.480000,0.160221,0.103302,0.545785
3500,42.619999,13.440000,0.095238,0.103331,0.518262
4000,41.700001,12.780000,0.062598,0.103615,0.497527
4500,41.959999,12.880000,0.034161,0.087228,0.520715
5000,39.619999,12.720000,0.022013,0.106446,0.507075
