generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,34.060001,20.300000,0.409852,0.093498,0.656184
500,37.680000,16.600000,0.284337,0.108077,0.582985
1000,39.560001,15.040000,0.194149,0.106552,0.551298
1500,42.020000,14.420000,0.133148,0.102851,0.540404
2000,42.279999,13.180000,0.072838,0.110311,0.509730
2500,34.279999,13.260000,0.048265,0.100403,0.529401
3000,37.860001,12.540000,0.035088,0.105961,0.501314
3500,44.119999,12.960000,0.024691,0.087481,0.532129
4000,39.220001,12.780000,0.012520,0.096861,0.525402
4500,42.700001,13.240000,0.006042,0.097311,0.550815
5000,38.259998,12.400000,0.003226,0.105623,0.510503
