generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,44.180000,39.680000,0.808468,0.056259,0.964687
500,38.700001,29.200000,0.639726,0.077939,0.808948
1000,40.000000,22.280000,0.495512,0.095662,0.680550
1500,37.259998,18.760000,0.371002,0.098658,0.619344
2000,37.080002,16.180000,0.266996,0.105053,0.571903
2500,36.080002,14.200000,0.171831,0.116410,0.533143
3000,35.500000,12.880000,0.114907,0.112849,0.495697
3500,40.799999,12.800000,0.062500,0.113119,0.500702
4000,37.880001,12.980000,0.030817,0.097254,0.506327
4500,43.080002,13.040000,0.018405,0.096209,0.535114
5000,31.680000,12.640000,0.006329,0.096468,0.512313
