generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,38.619999,28.800000,0.597222,0.074781,0.821387
500,37.860001,22.560000,0.468085,0.089526,0.703989
1000,35.400002,18.660000,0.347267,0.095635,0.630435
1500,42.740002,16.020000,0.262172,0.102141,0.560325
2000,39.160000,14.760000,0.170732,0.103839,0.555779
2500,36.419998,13.660000,0.117130,0.113178,0.525339
3000,40.240002,13.060000,0.070444,0.104206,0.514876
3500,37.799999,13.300000,0.048120,0.101247,0.534765
4000,40.599998,12.880000,0.012422,0.102893,0.529751
4500,39.580002,12.580000,0.006359,0.091735,0.522455
5000,41.360001,11.660000,0.006861,0.107841,0.473887
