generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,30.160000,33.820000,0.691898,0.063107,0.902911
500,30.540001,25.400000,0.546457,0.085794,0.749459
1000,35.320000,20.620000,0.430650,0.099842,0.662175
1500,45.180000,17.480000,0.304348,0.102274,0.607394
2000,40.500000,15.960000,0.213033,0.099458,0.574996
2500,38.740002,14.600000,0.139726,0.099627,0.554130
3000,42.400002,13.280000,0.078313,0.107260,0.521075
3500,41.240002,12.960000,0.046296,0.103288,0.518199
4000,40.779999,12.900000,0.024806,0.096495,0.520739
4500,42.740002,12.500000,0.019200,0.088844,0.510452
5000,32.720001,12.180000,0.009852,0.096930,0.493742
