generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,48.380001,38.720000,0.789256,0.056980,0.956879
500,37.959999,28.040000,0.614836,0.080964,0.791129
1000,31.500000,22.260000,0.488769,0.093576,0.682006
1500,40.139999,18.660000,0.340836,0.099871,0.630223
2000,37.200001,16.020000,0.222222,0.102321,0.577615
2500,36.320000,14.340000,0.164575,0.113534,0.537930
3000,37.560001,13.400000,0.092537,0.104630,0.520974
3500,41.599998,13.380000,0.050822,0.102320,0.538351
4000,41.480000,12.640000,0.034810,0.102175,0.508042
4500,42.980000,12.320000,0.022727,0.099112,0.503227
5000,41.099998,12.740000,0.012559,0.101651,0.515314
