generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,32.000000,4.900000,0.089796,0.245306,0.216380
500,33.259998,8.860000,0.022573,0.162857,0.345952
1000,42.419998,11.200000,0.014286,0.113206,0.446618
1500,30.440001,12.220000,0.006547,0.103564,0.493425
2000,21.600000,12.320000,0.000000,0.104185,0.501383
2500,31.959999,11.980000,0.000000,0.100046,0.489175
3000,35.160000,11.900000,0.000000,0.115329,0.478057
3500,24.500000,11.700000,0.000000,0.104672,0.479777
4000,28.580000,11.260000,0.000000,0.115710,0.457021
4500,35.580002,11.920000,0.000000,0.103457,0.479350
5000,27.160000,12.140000,0.000000,0.102357,0.488416
