generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,23.420000,4.860000,0.090535,0.244382,0.182596
500,44.259998,6.400000,0.050000,0.188145,0.239589
1000,44.419998,6.660000,0.048048,0.181736,0.247257
1500,44.520000,6.860000,0.046647,0.187894,0.256039
2000,45.720001,7.360000,0.043478,0.159525,0.282704
2500,47.060001,7.400000,0.043243,0.160128,0.282429
3000,47.259998,7.500000,0.042667,0.179669,0.282421
3500,43.480000,7.600000,0.042105,0.167607,0.283844
4000,46.240002,7.680000,0.041667,0.168718,0.292924
4500,46.240002,7.680000,0.041667,0.167033,0.292924
5000,45.580002,7.760000,0.041237,0.161305,0.297215
