generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,28.180000,5.220000,0.107280,0.238759,0.201960
500,30.860001,10.140000,0.027613,0.131609,0.422514
1000,30.100000,12.560000,0.012739,0.100627,0.507201
1500,39.779999,12.480000,0.012821,0.101340,0.513145
2000,30.920000,11.780000,0.006791,0.109885,0.481172
2500,28.180000,11.900000,0.003361,0.087405,0.492219
3000,33.560001,12.020000,0.000000,0.113398,0.490235
3500,26.620001,11.840000,0.000000,0.109152,0.479267
4000,30.620001,12.440000,0.000000,0.111272,0.497105
4500,34.759998,12.380000,0.000000,0.100025,0.505198
5000,39.779999,12.340000,0.000000,0.102459,0.502251
