generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,40.480000,4.700000,0.076596,0.237456,0.166074
500,38.900002,5.980000,0.060201,0.193997,0.240729
1000,42.639999,6.880000,0.052326,0.196348,0.271978
1500,46.560001,7.180000,0.033426,0.175740,0.289075
2000,47.240002,7.200000,0.033333,0.174487,0.289929
2500,46.360001,7.260000,0.033058,0.176457,0.288034
3000,48.040001,7.200000,0.033333,0.177890,0.287228
3500,46.680000,7.240000,0.033149,0.180768,0.291784
4000,46.060001,7.360000,0.032609,0.184436,0.294821
4500,33.799999,10.300000,0.011650,0.133281,0.412630
5000,46.880001,11.000000,0.010909,0.136340,0.454670
