generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.940000,11.620000,0.289157,0.146177,0.402791
500,37.600000,13.320000,0.126126,0.107360,0.510447
1000,33.800000,13.000000,0.067692,0.102896,0.513484
1500,35.560000,12.660000,0.053712,0.102906,0.503729
2000,35.020000,12.240000,0.039216,0.099618,0.492341
2500,39.160000,12.080000,0.023179,0.111707,0.491660
3000,36.460000,12.140000,0.023064,0.110824,0.488051
3500,30.940000,11.960000,0.016722,0.111808,0.481398
4000,32.840000,12.360000,0.009709,0.101728,0.500168
4500,38.360000,12.440000,0.006431,0.109802,0.509851
5000,40.220000,12.160000,0.006579,0.111673,0.488923
