generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.060000,11.500000,0.208696,0.146265,0.421834
500,31.820000,12.040000,0.139535,0.126843,0.453837
1000,36.160000,12.540000,0.086124,0.114539,0.492023
1500,46.360000,12.320000,0.068182,0.115432,0.473753
2000,40.660000,12.160000,0.042763,0.096897,0.482925
2500,38.300000,12.580000,0.031797,0.104720,0.511500
3000,38.580000,11.960000,0.016722,0.104743,0.495407
3500,40.320000,12.680000,0.009464,0.095305,0.510098
4000,34.640000,12.560000,0.009554,0.094388,0.509619
4500,36.400000,12.380000,0.009693,0.094839,0.496487
5000,39.060000,12.760000,0.003135,0.105135,0.523214
