generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,33.880000,13.020000,0.267281,0.126641,0.446721
500,37.440000,12.700000,0.176378,0.123726,0.462531
1000,33.380000,12.580000,0.092210,0.108486,0.491657
1500,32.040000,12.580000,0.054054,0.107346,0.505205
2000,46.040000,12.400000,0.051613,0.110334,0.491321
2500,45.200000,11.940000,0.016750,0.106214,0.481153
3000,37.700000,12.620000,0.012678,0.106486,0.511484
3500,37.720000,12.340000,0.009724,0.079783,0.507457
4000,39.000000,12.320000,0.003247,0.096446,0.508591
4500,36.780000,12.440000,0.000000,0.075632,0.510974
5000,36.680000,11.780000,0.000000,0.104798,0.481757
