generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,40.820000,11.380000,0.235501,0.150165,0.405107
500,39.960000,12.600000,0.142857,0.120931,0.474672
1000,40.480000,13.240000,0.081571,0.103558,0.514199
1500,43.360000,13.000000,0.058462,0.102440,0.510208
2000,42.400000,13.060000,0.033691,0.105463,0.516849
2500,43.200000,13.160000,0.018237,0.096744,0.521315
3000,44.180000,12.140000,0.016474,0.104750,0.483290
3500,40.380000,11.620000,0.013769,0.112082,0.464015
4000,43.520000,12.200000,0.006557,0.100284,0.499243
4500,34.400000,12.240000,0.003268,0.099671,0.492801
5000,36.900000,12.600000,0.000000,0.101881,0.517816
