generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,33.040000,11.720000,0.245734,0.138693,0.414322
500,35.960000,12.440000,0.118971,0.117418,0.478355
1000,39.060000,12.660000,0.078989,0.111584,0.495202
1500,39.860000,12.960000,0.049383,0.104668,0.515619
2000,43.100000,12.240000,0.032680,0.114079,0.492084
2500,31.780000,12.500000,0.022400,0.109585,0.509309
3000,34.900000,12.120000,0.016502,0.105293,0.485548
3500,35.220000,12.600000,0.009524,0.102527,0.509575
4000,37.180000,12.440000,0.006431,0.110877,0.503174
4500,37.800000,12.420000,0.003221,0.097683,0.508208
5000,30.840000,12.280000,0.000000,0.104509,0.499525
