generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.300000,11.240000,0.199288,0.142298,0.405593
500,39.340000,12.700000,0.110236,0.118310,0.484009
1000,42.840000,12.760000,0.068966,0.106893,0.494454
1500,33.840000,12.760000,0.062696,0.102705,0.495899
2000,40.200000,12.000000,0.050000,0.112590,0.471035
2500,41.920000,12.140000,0.042834,0.115207,0.490454
3000,37.860000,12.480000,0.028846,0.105100,0.497978
3500,33.200000,12.140000,0.019769,0.103761,0.492032
4000,34.640000,11.940000,0.006700,0.100386,0.480295
4500,33.260000,12.580000,0.006359,0.089009,0.511955
5000,40.520000,12.440000,0.006431,0.098979,0.500833
