generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.220000,11.800000,0.257627,0.149749,0.424701
500,36.640000,13.040000,0.156442,0.125011,0.489126
1000,33.460000,12.760000,0.078370,0.124617,0.499355
1500,33.680000,12.180000,0.049261,0.113759,0.489818
2000,31.060000,12.200000,0.026230,0.103193,0.491924
2500,38.240000,12.480000,0.016026,0.091073,0.507048
3000,41.000000,12.320000,0.006494,0.103486,0.507751
3500,35.740000,12.400000,0.006452,0.095290,0.515892
4000,30.400000,12.060000,0.006633,0.108533,0.489809
4500,32.560000,11.900000,0.006723,0.116547,0.487947
5000,36.860000,11.760000,0.003401,0.116216,0.478006
