generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,33.000000,12.040000,0.262458,0.142365,0.418703
500,37.660000,13.040000,0.150307,0.116895,0.492051
1000,35.080000,13.540000,0.091581,0.106322,0.526468
1500,36.660000,12.720000,0.056604,0.109201,0.498655
2000,41.720000,12.300000,0.032520,0.113529,0.498638
2500,36.420000,12.380000,0.025848,0.102590,0.492233
3000,37.080000,12.740000,0.018838,0.094572,0.512799
3500,39.300000,12.780000,0.009390,0.096034,0.515113
4000,37.380000,12.440000,0.000000,0.104378,0.507285
4500,41.180000,11.840000,0.000000,0.102976,0.478670
5000,39.580000,11.440000,0.000000,0.115872,0.457282
