generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.500000,12.960000,0.262346,0.130394,0.464935
500,34.380000,13.140000,0.155251,0.116983,0.491772
1000,36.080000,12.760000,0.106583,0.108139,0.489882
1500,38.100000,12.660000,0.078989,0.107638,0.499723
2000,39.760000,13.180000,0.039454,0.102861,0.522895
2500,38.160000,12.680000,0.025237,0.108605,0.513461
3000,32.400000,12.700000,0.012598,0.101247,0.516749
3500,30.820000,12.080000,0.003311,0.091680,0.494633
4000,43.480000,12.860000,0.003110,0.098976,0.524460
4500,38.460000,12.100000,0.003306,0.100587,0.498082
5000,37.380000,12.200000,0.000000,0.107505,0.491353
