generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,36.420000,12.280000,0.218241,0.132976,0.447952
500,36.380000,12.720000,0.138365,0.117819,0.473811
1000,34.900000,13.120000,0.094512,0.115046,0.509701
1500,34.800000,12.820000,0.046802,0.101128,0.511335
2000,36.000000,12.180000,0.042693,0.118204,0.483194
2500,39.520000,12.440000,0.025723,0.104393,0.493182
3000,44.560000,12.180000,0.013136,0.115135,0.503997
3500,34.300000,12.720000,0.006289,0.094734,0.516379
4000,35.300000,12.380000,0.000000,0.087669,0.509573
4500,36.040000,12.100000,0.000000,0.091641,0.489099
5000,35.420000,12.080000,0.000000,0.107800,0.483939
