generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.560000,11.700000,0.256410,0.143729,0.411788
500,38.020000,12.560000,0.152866,0.122203,0.473948
1000,40.200000,13.220000,0.087746,0.112241,0.512919
1500,36.300000,12.340000,0.042139,0.106390,0.484853
2000,36.860000,12.620000,0.025357,0.099659,0.512698
2500,36.380000,12.940000,0.012365,0.089801,0.516358
3000,31.920000,12.320000,0.012987,0.111506,0.503887
3500,36.700000,12.660000,0.003160,0.101347,0.515186
4000,36.080000,12.440000,0.000000,0.095733,0.503933
4500,35.700000,11.720000,0.000000,0.110035,0.486094
5000,34.960000,12.140000,0.000000,0.108828,0.500000
