generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.240000,11.160000,0.204301,0.144556,0.409396
500,41.260000,12.320000,0.107143,0.105444,0.480242
1000,39.380000,12.380000,0.064620,0.102003,0.482181
1500,37.800000,12.780000,0.043818,0.098693,0.508795
2000,34.460000,13.200000,0.030303,0.097547,0.525857
2500,40.480000,12.060000,0.023217,0.085881,0.490186
3000,35.760000,12.560000,0.009554,0.091989,0.521468
3500,39.460000,12.220000,0.006547,0.103820,0.493556
4000,37.320000,12.300000,0.006504,0.100420,0.495768
4500,37.800000,12.040000,0.003322,0.108637,0.487210
5000,38.300000,12.120000,0.000000,0.104885,0.494671
