generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.980000,11.980000,0.223706,0.144140,0.438526
500,38.940000,12.860000,0.124417,0.107111,0.485688
1000,37.860000,13.120000,0.067073,0.108645,0.517628
1500,39.200000,13.020000,0.036866,0.105789,0.528679
2000,39.520000,11.980000,0.030050,0.117613,0.482056
2500,44.400000,11.760000,0.020408,0.118447,0.476845
3000,40.400000,11.980000,0.016694,0.101690,0.496595
3500,35.980000,12.560000,0.012739,0.097240,0.514520
4000,39.860000,12.280000,0.009772,0.107589,0.498355
4500,32.980000,13.000000,0.003077,0.091538,0.531014
5000,35.240000,11.860000,0.000000,0.112063,0.477113
