generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,37.300000,11.120000,0.183453,0.140783,0.402687
500,33.560000,11.880000,0.087542,0.117705,0.456604
1000,38.840000,12.120000,0.062706,0.112492,0.471032
1500,30.520000,12.540000,0.031898,0.107058,0.505345
2000,40.060000,13.200000,0.024242,0.091565,0.527808
2500,31.680000,12.340000,0.022690,0.108259,0.494571
3000,38.040000,12.840000,0.006231,0.087755,0.523786
3500,40.040000,12.700000,0.003150,0.099354,0.527604
4000,34.740000,12.840000,0.003115,0.080734,0.520880
4500,44.200000,12.360000,0.003236,0.105279,0.498315
5000,35.820000,12.440000,0.000000,0.098336,0.503540
