generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.200000,11.860000,0.249578,0.143303,0.416246
500,30.600000,13.520000,0.127219,0.109242,0.508660
1000,29.240000,13.500000,0.088889,0.103015,0.528317
1500,34.320000,13.480000,0.068249,0.103973,0.529975
2000,33.700000,13.040000,0.055215,0.115117,0.522981
2500,33.580000,12.460000,0.035313,0.109867,0.499384
3000,43.020000,12.740000,0.012559,0.096031,0.509847
3500,33.900000,12.640000,0.006329,0.106518,0.515637
4000,37.000000,12.340000,0.006483,0.113590,0.508399
4500,34.200000,12.240000,0.003268,0.096415,0.500716
5000,40.200000,12.080000,0.000000,0.102590,0.490683
