generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,45.400000,12.160000,0.220395,0.128860,0.445247
500,35.560000,12.720000,0.110063,0.114575,0.484962
1000,37.740000,12.220000,0.055646,0.109715,0.467163
1500,40.780000,12.380000,0.029079,0.095228,0.494726
2000,43.440000,12.360000,0.012945,0.087654,0.500305
2500,46.640000,12.040000,0.009967,0.116341,0.487901
3000,40.220000,11.620000,0.006885,0.111377,0.467829
3500,43.260000,11.900000,0.003361,0.103977,0.484180
4000,40.620000,12.160000,0.003289,0.086418,0.494982
4500,41.900000,12.180000,0.003284,0.109880,0.498134
5000,39.260000,12.680000,0.000000,0.096173,0.520117
