generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.960000,12.000000,0.243333,0.137782,0.429241
500,39.140000,12.460000,0.160514,0.123697,0.462133
1000,38.040000,12.920000,0.083591,0.111309,0.500100
1500,45.600000,12.640000,0.063291,0.102757,0.497756
2000,39.580000,12.160000,0.049342,0.117154,0.488916
2500,48.060000,12.500000,0.025600,0.093614,0.503292
3000,37.780000,12.040000,0.016611,0.102513,0.476836
3500,42.020000,12.300000,0.013008,0.097988,0.496711
4000,43.100000,12.220000,0.013093,0.100769,0.487644
4500,38.860000,12.020000,0.003328,0.092465,0.488214
5000,39.640000,12.780000,0.000000,0.090968,0.510934
