generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,40.820000,11.880000,0.279461,0.142442,0.425247
500,40.520000,12.960000,0.169753,0.120517,0.482112
1000,39.420000,12.840000,0.105919,0.114138,0.497512
1500,44.120000,12.600000,0.073016,0.113045,0.495607
2000,38.060000,12.820000,0.040562,0.101565,0.504223
2500,37.580000,12.300000,0.029268,0.107227,0.490471
3000,42.300000,12.460000,0.022472,0.108508,0.497268
3500,44.020000,11.960000,0.006689,0.104326,0.488137
4000,43.200000,12.000000,0.000000,0.108200,0.485542
4500,40.360000,11.780000,0.000000,0.109930,0.478357
5000,37.800000,12.640000,0.000000,0.095924,0.507333
