generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,39.920000,11.880000,0.292929,0.137938,0.420772
500,44.480000,13.120000,0.161585,0.118361,0.486926
1000,42.800000,13.120000,0.103659,0.108688,0.505874
1500,42.000000,12.460000,0.077047,0.111498,0.480817
2000,34.180000,12.660000,0.031596,0.109063,0.504117
2500,43.280000,12.360000,0.025890,0.093313,0.495885
3000,37.140000,11.640000,0.017182,0.112229,0.469716
3500,41.940000,12.080000,0.006623,0.109484,0.486458
4000,38.120000,12.140000,0.000000,0.108812,0.493647
4500,39.780000,11.740000,0.000000,0.109968,0.475170
5000,45.060000,11.960000,0.000000,0.085168,0.494155
