generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,42.600000,11.780000,0.244482,0.133147,0.416331
500,37.940000,13.240000,0.117825,0.113632,0.509027
1000,43.020000,12.700000,0.078740,0.110937,0.496162
1500,38.340000,12.720000,0.050314,0.110482,0.508589
2000,44.380000,12.800000,0.031250,0.099760,0.516832
2500,42.720000,13.040000,0.018405,0.100595,0.524655
3000,38.140000,12.500000,0.016000,0.097802,0.511513
3500,40.620000,12.640000,0.012658,0.105222,0.511180
4000,39.360000,12.180000,0.009852,0.104304,0.497769
4500,39.640000,11.920000,0.000000,0.103324,0.479931
5000,45.000000,12.380000,0.000000,0.103597,0.505719
