generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,46.320000,11.740000,0.207836,0.134406,0.431231
500,40.840000,12.060000,0.116086,0.122637,0.465934
1000,38.660000,12.360000,0.080906,0.113837,0.484629
1500,38.540000,12.380000,0.048465,0.108992,0.489886
2000,38.060000,12.460000,0.025682,0.102541,0.501013
2500,37.440000,12.420000,0.022544,0.110572,0.500848
3000,36.340000,12.440000,0.016077,0.099685,0.508090
3500,35.560000,12.420000,0.016103,0.101871,0.503364
4000,38.580000,12.140000,0.013180,0.107663,0.501570
4500,43.320000,12.160000,0.003289,0.105649,0.495478
5000,33.200000,12.540000,0.003190,0.107006,0.512750
