generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,43.920000,11.340000,0.253968,0.150543,0.402412
500,44.460000,12.440000,0.138264,0.129976,0.479945
1000,41.640000,12.700000,0.069291,0.104020,0.494575
1500,39.620000,12.840000,0.034268,0.109220,0.515760
2000,42.900000,12.880000,0.021739,0.101127,0.510105
2500,39.160000,12.180000,0.016420,0.108128,0.485365
3000,38.560000,11.940000,0.013400,0.106267,0.487619
3500,39.020000,12.200000,0.006557,0.106010,0.503517
4000,40.060000,12.160000,0.003289,0.107107,0.495077
4500,33.240000,12.060000,0.000000,0.106814,0.485994
5000,41.280000,12.120000,0.000000,0.094684,0.493202
