generation,avg_utility,avg_degrees,reciprocity,spinglass_modularity,cluster_coeff
0,35.620000,11.720000,0.245734,0.140501,0.415331
500,32.620000,12.920000,0.148607,0.114068,0.490204
1000,37.080000,12.520000,0.092652,0.109436,0.477008
1500,35.940000,13.140000,0.070015,0.101827,0.517268
2000,33.600000,12.520000,0.044728,0.108486,0.495418
2500,30.600000,12.460000,0.019262,0.103116,0.494361
3000,34.860000,12.020000,0.013311,0.116777,0.484504
3500,35.160000,11.840000,0.010135,0.088942,0.470861
4000,37.160000,12.460000,0.003210,0.096951,0.506755
4500,33.320000,12.420000,0.003221,0.096635,0.508164
5000,45.160000,11.940000,0.003350,0.101851,0.485053
